Year,Month,ProductCategory,Sales(In ThousandDollars),WeatherEvent,Monthly Nominal GDP Index (inMillion$),No.of Holidays
2011,10,WomenClothing,3294,11,15840.385,2
2011,10,MenClothing,682,11,15840.385,2
2011,10,OtherClothing,1020,11,15840.385,2
2011,11,WomenClothing,3499,9,15775.006,2
2011,11,MenClothing,707,9,15775.006,2
2011,11,OtherClothing,1147,9,15775.006,2
2011,12,WomenClothing,4775,10,15740.545,4
2011,12,MenClothing,1081,10,15740.545,4
2011,12,OtherClothing,1596,10,15740.545,4
2012,1,WomenClothing,2287,10,15864.502,3
2012,1,MenClothing,525,10,15864.502,3
2012,1,OtherClothing,1039,10,15864.502,3
2012,2,WomenClothing,2800,11,16073.575,2
2012,2,MenClothing,545,11,16073.575,2
2012,2,OtherClothing,1108,11,16073.575,2
2012,3,WomenClothing,3566,12,15983.565,0
2012,3,MenClothing,623,12,15983.565,0
2012,3,OtherClothing,1229,12,15983.565,0
2012,4,WomenClothing,3724,11,16091.228,1
2012,4,MenClothing,711,11,16091.228,1
2012,4,OtherClothing,1136,11,16091.228,1
2012,5,WomenClothing,3800,16,16121.959,2
2012,5,MenClothing,725,16,16121.959,2
2012,5,OtherClothing,1155,16,16121.959,2
2012,6,WomenClothing,3086,11,16152.366,1
2012,6,MenClothing,703,11,16152.366,1
2012,6,OtherClothing,1205,11,16152.366,1
2012,7,WomenClothing,2877,11,16239.42,1
2012,7,MenClothing,613,11,16239.42,1
2012,7,OtherClothing,1049,11,16239.42,1
2012,8,WomenClothing,3059,8,16161.118,0
2012,8,MenClothing,674,8,16161.118,0
2012,8,OtherClothing,1124,8,16161.118,0
2012,9,WomenClothing,3294,8,16283.279,1
2012,9,MenClothing,687,8,16283.279,1
2012,9,OtherClothing,1045,8,16283.279,1
2012,10,WomenClothing,3168,13,16208.315,2
2012,10,MenClothing,710,13,16208.315,2
2012,10,OtherClothing,1158,13,16208.315,2
2012,11,WomenClothing,3558,6,16272.706,3
2012,11,MenClothing,731,6,16272.706,3
2012,11,OtherClothing,1252,6,16272.706,3
2012,12,WomenClothing,4824,18,16411.026,3
2012,12,MenClothing,1080,18,16411.026,3
2012,12,OtherClothing,1475,18,16411.026,3
2013,1,WomenClothing,2320,11,16503.916,2
2013,1,MenClothing,599,11,16503.916,2
2013,1,OtherClothing,1036,11,16503.916,2
2013,2,WomenClothing,2872,14,16433.883,2
2013,2,MenClothing,560,14,16433.883,2
2013,2,OtherClothing,1144,14,16433.883,2
2013,3,WomenClothing,3687,11,16488.522,1
2013,3,MenClothing,682,11,16488.522,1
2013,3,OtherClothing,1346,11,16488.522,1
2013,4,WomenClothing,3883,10,16521.134,0
2013,4,MenClothing,718,10,16521.134,0
2013,4,OtherClothing,1188,10,16521.134,0
2013,5,WomenClothing,4170,11,16461.873,2
2013,5,MenClothing,749,11,16461.873,2
2013,5,OtherClothing,1194,11,16461.873,2
2013,6,WomenClothing,3360,15,16641.163,1
2013,6,MenClothing,678,15,16641.163,1
2013,6,OtherClothing,1261,15,16641.163,1
2013,7,WomenClothing,3320,14,16685.742,1
2013,7,MenClothing,648,14,16685.742,1
2013,7,OtherClothing,1126,14,16685.742,1
2013,8,WomenClothing,3539,11,16776.993,0
2013,8,MenClothing,687,11,16776.993,0
2013,8,OtherClothing,1311,11,16776.993,0
2013,9,WomenClothing,3720,7,16785.312,1
2013,9,MenClothing,681,7,16785.312,1
2013,9,OtherClothing,1043,7,16785.312,1
2013,10,WomenClothing,3590,6,16884.855,2
2013,10,MenClothing,785,6,16884.855,2
2013,10,OtherClothing,1108,6,16884.855,2
2013,11,WomenClothing,3834,10,17053.738,2
2013,11,MenClothing,798,10,17053.738,2
2013,11,OtherClothing,1209,10,17053.738,2
2013,12,WomenClothing,4865,11,17061.071,3
2013,12,MenClothing,1085,11,17061.071,3
2013,12,OtherClothing,1566,11,17061.071,3
2014,1,WomenClothing,2961,10,16955.609,2
2014,1,MenClothing,573,10,16955.609,2
2014,1,OtherClothing,1172,10,16955.609,2
2014,2,WomenClothing,3381,11,17028.586,2
2014,2,MenClothing,636,11,17028.586,2
2014,2,OtherClothing,1123,11,17028.586,2
2014,3,WomenClothing,4268,9,17109.777,0
2014,3,MenClothing,702,9,17109.777,0
2014,3,OtherClothing,1293,9,17109.777,0
2014,4,WomenClothing,4223,12,17208.865,2
2014,4,MenClothing,785,12,17208.865,2
2014,4,OtherClothing,1196,12,17208.865,2
2014,5,WomenClothing,4421,12,17345.334,2
2014,5,MenClothing,801,12,17345.334,2
2014,5,OtherClothing,1257,12,17345.334,2
2014,6,WomenClothing,3905,9,17408.564,1
2014,6,MenClothing,702,9,17408.564,1
2014,6,OtherClothing,1108,9,17408.564,1
2014,7,WomenClothing,3733,11,17551.781,1
2014,7,MenClothing,655,11,17551.781,1
2014,7,OtherClothing,1175,11,17551.781,1
2014,8,WomenClothing,4067,7,17684.635,0
2014,8,MenClothing,692,7,17684.635,0
2014,8,OtherClothing,1337,7,17684.635,0
2014,9,WomenClothing,4481,7,17630.355,1
2014,9,MenClothing,674,7,17630.355,1
2014,9,OtherClothing,1056,7,17630.355,1
2014,10,WomenClothing,4434,14,17709.437,2
2014,10,MenClothing,757,14,17709.437,2
2014,10,OtherClothing,1153,14,17709.437,2
2014,11,WomenClothing,4525,9,17765.338,2
2014,11,MenClothing,803,9,17765.338,2
2014,11,OtherClothing,1468,9,17765.338,2
2014,12,WomenClothing,5664,17,17733.024,3
2014,12,MenClothing,1070,17,17733.024,3
2014,12,OtherClothing,1967,17,17733.024,3
